Spanish	ExampleSentence	English	ExampleTranslation	PartOfSpeech	Gender	Notes
la adolescencia	La <b>adolescencia</b> es una etapa de muchos cambios.	adolescence	Adolescence is a stage of many changes.	noun	la (feminine)	
la alegría	La <b>alegría</b> se notaba en su cara.	happiness	The happiness was visible on her face.	noun	la (feminine)	Adjective: "alegre" = happy, cheerful.
la amistad	La <b>amistad</b> entre ellos dura más de veinte años.	friendship	Their friendship has lasted more than twenty years.	noun	la (feminine)	"Amigo/a" = friend.
el amor	El <b>amor</b> de una madre es incondicional.	love	A mother's love is unconditional.	noun	el (masculine)	Verb: "amar" (to love).
el aniversario (de bodas)	Mis padres celebran su <b>aniversario de bodas</b> hoy.	(wedding) anniversary	My parents are celebrating their wedding anniversary today.	noun	el (masculine)	
el beso	Le dio un <b>beso</b> en la mejilla.	kiss	She gave him a kiss on the cheek.	noun	el (masculine)	Verb: "besar" (to kiss).
la boda	La <b>boda</b> será en junio.	wedding	The wedding will be in June.	noun	la (feminine)	"Boda" = the ceremony/event. "Matrimonio" = the institution of marriage.
la botella (de vino)	Abrimos una <b>botella de vino</b> para brindar.	bottle (of wine)	We opened a bottle of wine to toast.	noun	la (feminine)	
brindar	Vamos a <b>brindar</b> por los novios.	to toast (drink)	Let's toast to the bride and groom.	verb		"Brindar por" = to toast to. "El brindis" = the toast.
cambiar (de)	Quiero <b>cambiar de</b> trabajo el próximo año.	to change	I want to change jobs next year.	verb		"Cambiar de" = to change (switch). "Cambiar" alone = to change/alter.
casado/a	Mi hermana está <b>casada</b> desde hace cinco años.	married	My sister has been married for five years.	adjective		"Estar casado/a con" = to be married to.
casarse (con)	Mi mejor amiga se <b>casa</b> en diciembre.	to get married (to)	My best friend is getting married in December.	verb		Reflexive. "Casarse con" = to marry someone.
celebrar	<b>Celebramos</b> su cumpleaños con una fiesta sorpresa.	to celebrate	We celebrated his birthday with a surprise party.	verb		Regular -ar verb. Also: "festejar."
el champán	Abrimos una botella de <b>champán</b> a medianoche.	champagne	We opened a bottle of champagne at midnight.	noun	el (masculine)	Also: "la champaña" in some regions.
comprometerse (con)	Se <b>comprometieron</b> después de tres años juntos.	to get engaged (to)	They got engaged after three years together.	verb		Reflexive. "El compromiso" = engagement.
conmigo	¿Quieres ir <b>conmigo</b> al cine?	with me	Do you want to go to the movies with me?	pronoun		Special form of "con + mí." Never "con mí."
contigo	Me encanta pasar tiempo <b>contigo</b>.	with you	I love spending time with you.	pronoun		Special form of "con + ti." Never "con ti."
