Spanish	ExampleSentence	English	ExampleTranslation	PartOfSpeech	Gender	Notes
a lo mejor	<b>A lo mejor</b> vamos a la playa este fin de semana.	maybe	Maybe we'll go to the beach this weekend.	expression		Informal. Unlike "quizás" or "tal vez," does not trigger subjunctive.
a menudo	Voy al gimnasio <b>a menudo</b>.	often	I go to the gym often.	expression		Synonym: "frecuentemente," "con frecuencia."
a tiempo	Llegamos <b>a tiempo</b> para la película.	on time	We arrived on time for the movie.	expression		Opposite: "tarde" (late).
a veces	<b>A veces</b> me siento cansado después del trabajo.	sometimes	Sometimes I feel tired after work.	expression		
el accidente	Hubo un <b>accidente</b> en la autopista esta mañana.	accident	There was an accident on the highway this morning.	noun	el (masculine)	
además (de)	<b>Además de</b> estudiar, trabajo por las tardes.	furthermore; besides	Besides studying, I work in the afternoons.	adverb / preposition		"Además" alone = furthermore. "Además de" = besides/in addition to.
el antibiótico	El doctor me recetó un <b>antibiótico</b> para la infección.	antibiotic	The doctor prescribed an antibiotic for the infection.	noun	el (masculine)	
apenas	<b>Apenas</b> pude dormir anoche.	hardly; scarcely	I could hardly sleep last night.	adverb		
así	No lo hagas <b>así</b>; déjame enseñarte.	like this; so	Don't do it like that; let me show you.	adverb		"Así es" = that's right.
la aspirina	Tómate una <b>aspirina</b> para el dolor de cabeza.	aspirin	Take an aspirin for the headache.	noun	la (feminine)	
bastante	Hace <b>bastante</b> frío hoy.	enough; rather	It's rather cold today.	adverb / adjective		Can mean "enough" or "quite/rather" depending on context.
la boca	Abre la <b>boca</b>, por favor.	mouth	Open your mouth, please.	noun	la (feminine)	
el brazo	Me rompí el <b>brazo</b> jugando fútbol.	arm	I broke my arm playing soccer.	noun	el (masculine)	
la cabeza	Me duele la <b>cabeza</b>.	head	My head hurts.	noun	la (feminine)	"Dolor de cabeza" = headache.
caerse	Me <b>caí</b> en la escalera y me lastimé la rodilla.	to fall (down)	I fell on the stairs and hurt my knee.	verb		Irregular: yo me caigo. Preterite: me caí.
casi	<b>Casi</b> me caigo por las escaleras.	almost	I almost fell down the stairs.	adverb		
